panel_id,utility_id_eia,display_name,state,year,ownership,reporting_standard,reliability_customers,routine_saidi_minutes,included_primary_model,reliability_row_status,analysis_excluded_fields,eia_source_file_url
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2022,COOP,ieee_standard,26019.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612022.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2023,COOP,ieee_standard,26032.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612023.zip
COOP_MA_CHICOPEE,3477,Chicopee Electric Light,MA,2024,COOP,ieee_standard,26049.0,,False,reported,,https://www.eia.gov/electricity/data/eia861/zip/f8612024.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2013,DOM,other_standard,3362187.0,19.0,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612013.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2014,DOM,other_standard,3362187.0,19.0,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612014.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2015,DOM,other_standard,3385176.0,20.7,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612015.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2016,DOM,other_standard,3410172.0,18.824,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612016.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2017,DOM,other_standard,3434897.0,18.35,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612017.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2018,DOM,other_standard,3464959.0,19.827,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612018.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2019,DOM,other_standard,3504987.0,28.91,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612019.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2020,DOM,other_standard,3535450.0,21.51,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612020.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2021,DOM,other_standard,3498725.0,19.6,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612021.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2022,DOM,other_standard,3563455.0,18.18,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612022.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2023,DOM,other_standard,3626606.0,14.768,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612023.zip
DOM_NY_CECONY,4226,Con Edison (CECONY),NY,2024,DOM,other_standard,3686348.0,14.951,True,reported,,https://www.eia.gov/electricity/data/eia861/zip/f8612024.zip
DOM_CT_CLP,4176,Connecticut Light & Power (Eversource Connecticut),CT,2013,DOM,ieee_standard,1217400.0,98.0,True,reported,,https://www.eia.gov/electricity/data/eia861/archive/zip/f8612013.zip
